identifier,title
HR 6648,Secure America’s Borders First Act
S 1363,Disaster Assistance Simplification Act
HR 5779,Financial Fitness Act
HR 5784,Flood Prevention Act of 2021
S 1367,United States Pharmaceutical Supply Chain Review Act
S 1365,Extending Tribal Broadband Priority Act of 2021
HR 2848,Marine Mammal Research and Response Act of 2021
HR 9286,"To amend the Internal Revenue Code of 1986 to treat certain price protection payments as eligible rollover distributions, and for other purposes."
HR 5785,Help End Abusive Living Situations Act
HR 5786,Defund the People’s Liberation Army Act
HR 9288,Homeless Veterans Assistance Fund Act of 2022
HR 9284,Disaster and Emergency Pricing Abuse Prevention Act
S 2214,PROTECTS Act
HR 9290,The Enrique Roman-Martinez Military Cold Case Justice Act of 2022
HRES 849,"Providing for consideration of the (H.R. 5665) to establish in the Department of State the Office to Monitor and Combat Islamophobia, and for other purposes."
HR 9102,Rebuilding the United States-Flag International Fleet Act
HR 6901,"To prohibit the use of Federal funds for the private interim storage of spent nuclear fuel, and for other purposes."
S 2321,Preserving Our Commitment to Homeless Veterans Act
SRES 390,A resolution expressing appreciation for the State of Qatar's efforts to assist the United States during Operation Allies Refuge.
HRES 756,"Supporting the designation of October 27, 2021, as ""National Civics Day""."
S 2328,Reducing Barriers for Military Voters Act
HRES 1086,Commemorating the 50th anniversary of United States and Bangladesh relations.
S 2327,Seniors Prescription Drug Relief Act
S 2317,A bill to provide for the establishment of security standards for international research in key technology focus areas.
S 2336,Gulf Coast Hurricane Aid Act of 2021
S 2335,Don’t Push My Buttons Act
S 2324,Federal Permitting Reform and Jobs Act
S 2330,Assisting Broadband Connectivity Act of 2021
S 2320,Keeping Gun Dealers Honest Act of 2021
HR 2832,Don’t Tax Higher Education Act
HRES 1296,"Of inquiry requesting the President and directing the Secretary of Education to transmit, respectively, certain documents to the House of Representatives relating to the legal authority to forgive Federal student loan debt."
HR 4409,Diversity Advancements in Accelerated Programs Act
HR 5777,CHOICE Act
S 1449,Moving Americans Privacy Protection Act
S 1450,Access to Genetic Counselor Services Act of 2021
HR 6075,HEADs UP Act of 2021
HR 4205,Save Affordable Housing Act of 2021
HRES 821,"Expressing the sense of the House of Representatives regarding the importance of local print and digital journalism to the continued welfare, transparency, and prosperity of government at every level and the continuation and freedom of the United States as it is known today."
HR 1073,Wildfire Wireless Resiliency Act
HR 9289,Affordable Electric Vehicles for America Act of 2022
HR 5780,Disaster Equity and Fairness Act
HR 5789,No Veteran Falls Through the Cracks Act
SRES 298,"A resolution designating July 15, 2021, as ""National Leiomyosarcoma Awareness Day"" and the month of July 2021 as ""National Sarcoma Awareness Month""."
HR 4424,DEFEND Act
HR 6036,Promoting Advancement Through Transit Help to College Act
HR 5771,Building Much Needed Rail Grade Separations Act of 2021
S 2313,"A bill for the relief of Maria Isabel Bueso Barrera, Alberto Bueso Mendoza, and Karla Maria Barrera De Bueso."
HRES 528,Congratulating the Mississippi State University baseball team on winning the 2021 National Collegiate Athletic Association Division I baseball championship.
HR 3447,Permanency for Audio-Only Telehealth Act
HR 2689,Minority Business Resiliency Act of 2021
HR 8768,Fighting Cancer in Children Act
S 2614,Open Courts Act of 2021
S 1260,United States Innovation and Competition Act of 2021
S 4384,Civics Secures Democracy Act
S 1508,"A bill to provide for the use of emergency use authorization data and real world evidence gathered during an emergency to support premarket applications for drugs, biological products, and devices, and for other purposes."
S 2370,Zero-Emission Homes Act of 2021
S 3769,Weatherization Assistance Program Improvements Act of 2022
HR 2443,Orland Project Transfer Act
HR 4112,Clarity in Credit Score Formation Act of 2021
HR 4995,Tribal Wildlife Corridors Act of 2021
HR 5995,Pregnancy Loss Mental Health Research Act of 2021
S 3768,Training America’s Workforce Act
S 1480,Recognizing Military Service in PSLF Act
HR 585,Apprenticeship Program National Scorecard Act
HR 8771,Options for Ownership Act
HR 4371,Chronic Condition Copay Elimination Act
HR 4360,No Biometric Barriers to Housing Act of 2021
S 4009,Rural Hospital Support Act
S 3807,SHIP IT Act
HR 8775,BASIC Act
HR 2984,Investing in American Workers Act
HR 6433,IOC Act
HR 4359,OPEN Act
HR 4370,Listing Reform Act
S 4788,Go Pack Go Act of 2022
S 4790,Patient Navigator Enhancement Act
HR 819,Stop Corrupt Iranian Oligarchs and Entities Act
S 2363,Better Wound Care at Home Act
S 3614,United States-Russian Federation Seafood Reciprocity Act of 2022
HR 2851,Affordable Housing Preservation Act of 2021
HR 8777,Competitive Prices Act
SRES 751,"A resolution designating August 1, 2022, as ""Gold Star Children's Day""."
S 4789,Expand Housing Opportunities Act
S 1387,PTC Elimination Act
S 1380,Clean Slate Act of 2021
S 2143,National Flood Insurance Program Consultant Accountability Act of 2021
S 1460,Community Broadband Act of 2021
S 1498,Technology Standards Task Force Act of 2021
S 1507,"A bill to require the Administrator of the Environmental Protection Agency to promulgate certain limitations with respect to pre-production plastic pellet pollution, and for other purposes."
S 1447,Abandoned Mine Land Reclamation Fee Extension Act
S 3066,Battery Material Processing and Component Manufacturing Act of 2021
S 1479,Home Lead Safety Tax Credit Act of 2021
S 2119,Combating BDS Act of 2021
HR 1056,Wireless Broadband Competition and Efficient Deployment Act
S 2358,Workforce Support and Flexibility Act of 2021
HR 3676,Prevent Impaired Driving Child Endangerment Act
S 2346,Stop CRT Act
S 2114,SAVE Act
HR 5588,Net Price Calculator Improvement Act
HR 730,Equity and Inclusion Enforcement Act of 2021
HR 9287,Love Lives On Act of 2022
S 1409,Stop Theft of Intellectual Property Act of 2021
S 1416,PARTS Act of 2021
HRES 351,Providing for consideration of the joint resolution (H.J. Res. 11) proposing an amendment to the Constitution of the United States to require that the Supreme Court of the United States be composed of nine justices.
S 4408,Health and Location Data Protection Act of 2022
S 1417,PANA Act
S 1419,PCBETTER Act of 2021
S 1423,Clean Slate for Kids Online Act of 2021
SRES 182,"A resolution recognizing the late Gilbert Metz, the last Holocaust survivor who lived in Mississippi, and commending all educators who teach about the Holocaust and all genocide."
S 1437,Recognizing the Role of Direct Support Professionals Act
S 1410,Protecting Americans from Fentanyl Trafficking Act of 2021
HR 7610,21st Century Dyslexia Act
HR 7606,Meat and Poultry Special Investigator Act of 2022
HR 8023,Don Young Arctic Warrior Act
S 4438,Let's Get to Work Act of 2022
HR 8154,Facial Recognition Ban on Body Cameras Act
S 1814,Women Who Worked on the Home Front World War II Memorial Act
S 3287,Strategic Production Response Act
S 4452,"A bill to designate the facility of the United States Postal Service located at 825 West 65th Street in Minneapolis, Minnesota, as the ""Charles W. Lindberg Post Office""."
S 4436,Advanced Border Coordination Act of 2022
HR 2894,Civilian Cyber Security Reserve Act
HR 7561,BAH Restoration Act
HR 7554,OWNER Act
HR 7557,Department of the Treasury Officer Protection Act of 2022
HR 7547,SPACE Tax Act
HR 2843,STOP GAMES Act of 2021
HR 7545,Kimberly Vaughan Firearm Safe Storage Act
HR 8158,Base Access Privileges Improvement Act
S 1859,National Guard and Reserve Incentive Pay Parity Act
HR 2831,Prompt Approval of Safe Generic Drugs Act
HR 7552,Golden-preneurship Act
HR 1207,Stop Online Ammunition Sales Act of 2021
HR 1143,LOAN Act
HR 7553,Warrant for Metadata Act
HR 6070,Kyle H. Rittenhouse Congressional Gold Medal Act
