person_id,name,current_party
ocd-person/cf441c62-91b4-52f5-b9c7-04a45290e5e4,A. Drew Ferguson IV,Republican
ocd-person/a5212de0-6253-5b67-8473-2b00d1f22da6,Aaron Bean,Republican
ocd-person/d1b6eea9-e526-593d-b87a-0e926c3f2303,Abigail Davis Spanberger,Democratic
ocd-person/c5a3238c-f36a-5b17-af62-ca6dcce0b91d,Adam B. Schiff,Democratic
ocd-person/55a28978-7661-5a33-a2be-a505a07e2a8e,Adam Smith,Democratic
ocd-person/39f36070-b860-5345-a3cc-ea7fdbf7dfb3,Adrian Smith,Republican
ocd-person/0d73f18d-36c1-526d-9d5c-5a0a63ff60af,Adriano Espaillat,Democratic
ocd-person/2ad84a53-f957-5a9c-861b-413aac608201,Al Green,Democratic
ocd-person/fadd82ac-5031-5efd-ae39-1afc3f3cd6fb,Alex Padilla,Democratic
ocd-person/1b959af6-5bbc-5e3b-855f-9a140244c31c,Alexander X. Mooney,Republican
ocd-person/d2a8d710-a781-5a40-b6f2-e46bffcf40d2,Alexandria Ocasio-Cortez,Democratic
ocd-person/76bfaf2b-8259-5f56-bce9-d1c8cd6c780d,Alma S. Adams,Democratic
ocd-person/79c4f42e-4775-5ed0-a7e1-d0c942ce6c34,Ami Bera,Democratic
ocd-person/2722e0b1-650d-5f77-a348-f7f0d66aa3e2,Amy Klobuchar,Democratic
ocd-person/ef4b4ed3-1808-548d-8625-2cea913c2e4a,André Carson,Democratic
ocd-person/54f931b7-9a94-5c93-8585-0967370ffb86,Andrea Salinas,Democratic
ocd-person/5916e23e-c486-5d60-88c8-56bb65c23763,Andrew Ogles,Republican
ocd-person/4ec1dbc4-ea21-5f61-92b1-fa55b47a4c61,Andrew R. Garbarino,Republican
ocd-person/0dbe5471-29ea-5c84-8270-f55fee08d118,Andrew S. Clyde,Republican
ocd-person/fe2fa2c7-83de-5bf2-b602-6ca9f7fc8a6f,Andy Barr,Republican
ocd-person/86b4b077-b73b-579b-bb73-bc5a4a73719a,Andy Biggs,Republican
ocd-person/74a68d2f-f563-50d8-80a7-408346b8ba14,Andy Harris,Republican
ocd-person/62227c11-1ad4-5395-b233-f1f526efc5b4,Andy Kim,Democratic
ocd-person/6b47c0e2-77d5-5126-b7a5-82bea8fb9c67,Angie Craig,Democratic
ocd-person/273dd641-da15-5fc0-bdc9-496cc9b65fbd,"Angus S. King, Jr.",Independent
ocd-person/7ed34023-b42f-57bc-af69-b36a680122f2,Ann M. Kuster,Democratic
ocd-person/12958b9f-2301-5bdb-bf13-81b3de147574,Ann Wagner,Republican
ocd-person/047b7a92-9713-54e5-8429-bcd2214908c7,Anna G. Eshoo,Democratic
ocd-person/d18ec0cb-328b-54c8-8785-5f924799f5fe,Anna Paulina Luna,Republican
ocd-person/e024e123-9750-5f4e-bc3d-6d892218868d,Anthony D’Esposito,Republican
ocd-person/50705d33-6967-5424-8f57-7df22ecbc6e6,Ashley Hinson,Republican
ocd-person/2519c079-f97e-532b-b53e-167398fd7398,August Pfluger,Republican
ocd-person/eb3fa86b-690c-5cc0-8f5e-54af60f28a06,Aumua Amata Coleman Radewagen,Republican
ocd-person/20c33933-79f5-58d1-834c-60779932257e,Austin Scott,Republican
ocd-person/ab80da0d-902f-5d28-b765-1885853182bd,Ayanna Pressley,Democratic
ocd-person/3cbc3ca2-4447-50e2-abed-ba3fe86569d8,Barbara Lee,Democratic
ocd-person/13e07344-3cec-5f29-a27b-2dd6979dbeb5,Barry Loudermilk,Republican
ocd-person/b242258c-669a-53a7-be30-5f529f03398e,Barry Moore,Republican
ocd-person/510c6c69-df0f-5b09-b4c7-066256ace832,Becca Balint,Democratic
ocd-person/bb0d60f6-19a4-5229-a67d-a1d428e7c0b2,Ben Cline,Republican
ocd-person/5f5817b7-43b0-5bb3-93de-0f838a801635,Ben Ray Luján,Democratic
ocd-person/18b53a95-c658-5a23-8c3e-074a7e0d27e3,Benjamin L. Cardin,Democratic
ocd-person/c171d352-db84-5c96-8260-1fcd7eab2575,Bennie G. Thompson,Democratic
ocd-person/a1ec37b6-9f54-529a-8165-ff96e9d8d93e,Bernard Sanders,Independent
ocd-person/861bd195-d8aa-5e72-9699-4f5ad3d5e499,Beth Van Duyne,Republican
